,City,Country,Lat,Lng,Hotel Name
405,tromso,NO,69.65,18.96,"Radisson Blu Hotel, Tromsø"
406,awjilah,LY,29.11,21.29,
407,bloomington,US,44.84,-93.3,DoubleTree by Hilton Hotel Bloomington - Minneapolis South
408,russellville,US,35.28,-93.13,Holiday Inn Express & Suites Russellville
409,taltal,CL,-25.4,-70.48,HOTEL PLAZA
410,verkhoyansk,RU,67.54,133.38,
411,jodiya,IN,22.69,70.31,
412,fort nelson,CA,58.81,-122.7,Lakeview Inns & Suites - Fort Nelson
413,tucurui,BR,-3.77,-49.67,Hotel Goiânia
414,wagga wagga,AU,-35.12,147.37,International Hotel
415,vestmannaeyjar,IS,63.44,-20.27,Hotel Vestmannaeyjar
416,plettenberg bay,ZA,-34.05,23.37,The Dunes Hotel & Resort
417,caxias,PT,38.7,-9.28,Hotel Real Oeiras
418,baracoa,CU,20.35,-74.5,El Castillo
419,sao joao da barra,BR,-21.64,-41.05,Pousada Kactus
420,charters towers,AU,-20.1,146.27,Waverley Hotel
421,shahgarh,IN,24.32,79.13,Shubham Hotel
422,iqaluit,CA,63.75,-68.51,Frobisher Inn
423,corinto,GR,37.94,22.96,Club Hotel Casino Loutraki
424,waddan,LY,29.16,16.14,
425,campbell river,CA,50.02,-125.24,Painter's Lodge
426,corpus christi,US,27.8,-97.4,Omni Corpus Christi Hotel
427,kanigiri,IN,15.4,79.52,Hotel
428,zelenoborskiy,RU,66.84,32.36,Motel Zeleniy Bor
429,hofn,IS,64.25,-15.21,Hótel Höfn
430,dhidhdhoo,MV,6.88,73.1,
431,minab,IR,27.15,57.08,اقامتگاه بومگردی هرموزیا
432,svetlogorsk,BY,52.63,29.73,Hotel Svetlogorsk JBIK
433,boffa,GN,10.17,-14.03,Hôtel Niara Belly
434,tamandare,BR,-8.76,-35.1,Hotel Coral Beach
435,kozan,TR,37.46,35.82,Yaver'in Konağı
436,sukumo,JP,32.93,132.73,Sukumo Resort Yashinoyu
437,oskemen,KZ,49.96,82.61,Shiny River Hotel
438,palana,RU,59.12,159.97,
439,bourail,NC,-21.57,165.48,Betikure Parc Lodge
440,willowmore,ZA,-33.29,23.49,The Old Jail
441,acapulco,MX,16.86,-99.89,Holiday Inn Resort Acapulco
442,santa adelia,BR,-21.24,-48.8,Marri Hotel
443,terney,RU,45.05,136.61,"Hotel ""Ternay"""
444,marawi,PH,8.0,124.29,Marawi Resort Hotel
445,dali,CN,25.7,100.18,Dali Royle Hotel
446,alma,CA,48.55,-71.65,Hotel Universel
447,tinskoy,RU,56.15,96.92,
448,pacific grove,US,36.62,-121.92,Monterey Plaza Hotel & Spa
449,calabozo,VE,8.92,-67.43,Best Western Hotel Plaza Real
450,acari,PE,-15.43,-74.62,Hospedaje El Tambo
451,cayenne,GF,4.93,-52.33,Royal Amazonia
452,beloha,MG,-25.17,45.05,
453,gizo,SB,-8.1,156.84,Oravae Island Cottages
454,aksu,CN,41.12,80.26,Jianshe Hotel
455,qinhuangdao,CN,39.93,119.59,"Shangri-la Hotel,Qinhuangdao"
456,rovenki,UA,48.08,39.38,"Гостиница ""Идиллия"""
457,cap malheureux,MU,-19.98,57.61,Zilwa Attitude Hotel
458,macusani,PE,-14.08,-70.43,hotel Mirador Eden
459,massakory,TD,13.0,15.73,
460,porto nacional,BR,-10.71,-48.42,Hotel União
461,kushima,JP,31.46,131.23,Hotel Nakamurasō
462,yar-sale,RU,66.83,70.83,Yalemd
463,dwarka,IN,22.24,68.97,Hotel Pari
464,raudeberg,NO,61.99,5.14,Ulvesund FYR
465,luanda,AO,-8.84,13.23,Hotel Continental Luanda
466,constitucion,CL,-35.33,-72.42,Hotel Montt Plaza
467,esperance,AU,-33.87,121.9,Comfort Inn Bay Of Isles
468,chara,RU,56.91,118.26,
469,kashan,IR,33.98,51.44,Saraye Ameriha Boutique Hotel
470,clinton,US,42.59,-82.92,Holiday Inn Express & Suites Chesterfield - Selfridge Area
471,rexburg,US,43.83,-111.79,Hampton Inn & Suites Rexburg
